pump_id,well_id,group,pump_size_model,expected_failure_interval_days,num_failures_3years,failure_dates,failure_modes,failure_causes,avg_flow_rate_m3_day,avg_discharge_pressure_MPa,avg_inlet_pressure_MPa,avg_motor_temperature_C,avg_vibration_mm_s,avg_motor_current_A,avg_power_consumption_kW,MTBF_days,MTTR_days,avg_days_between_failures,pump_efficiency_percent,uptime_percent,maintenance_cost_USD,operational_state,total_operating_days,study_start_date,study_end_date
1,1,Group_A,ESP_250,730.0,1,2024-03-27,Bearing_Wear,High_Temperature,181.46,27.83,11.13,63.0,4.76,36.69,8.57,1094.0,2.13,0.0,90.56,99.81,2938.6,Active,1095,2022-01-01,2024-12-31
2,2,Group_A,ESP_360,730.0,1,2024-04-07,Bearing_Wear,High_Temperature,111.18,22.17,8.87,75.74,4.59,33.93,20.3,1094.0,0.85,0.0,92.92,99.92,4222.45,Active,1095,2022-01-01,2024-12-31
3,3,Group_A,ESP_360,730.0,1,2023-10-14,Bearing_Wear,High_Temperature,145.02,49.33,19.73,74.0,7.16,59.22,16.26,1094.0,0.53,0.0,99.42,99.95,3780.74,Active,1095,2022-01-01,2024-12-31
4,4,Group_A,ESP_130,730.0,1,2024-03-31,Seal_Failure,Pressure_Spike,196.32,27.61,11.04,63.66,4.97,17.24,27.73,1094.0,1.15,0.0,96.63,99.9,5036.76,Active,1095,2022-01-01,2024-12-31
5,5,Group_A,ESP_130,730.0,1,2023-12-10,Bearing_Wear,High_Temperature,85.32,43.69,17.48,73.49,4.37,75.23,23.18,1094.0,1.32,0.0,95.7,99.88,4538.41,Active,1095,2022-01-01,2024-12-31
6,6,Group_A,ESP_360,730.0,1,2023-08-21,Seal_Failure,Pressure_Spike,126.13,43.15,17.26,70.7,3.69,50.28,8.52,1094.0,2.51,0.0,90.75,99.77,2933.28,Active,1095,2022-01-01,2024-12-31
7,7,Group_A,ESP_250,730.0,1,2023-12-09,Seal_Failure,Pressure_Spike,82.39,17.95,7.18,81.34,6.74,54.39,28.16,1094.0,2.13,0.0,99.15,99.81,5083.25,Active,1095,2022-01-01,2024-12-31
8,8,Group_A,ESP_80,730.0,1,2024-02-06,Seal_Failure,Pressure_Spike,132.87,23.01,9.2,81.89,5.83,72.67,16.81,1094.0,0.8,0.0,97.13,99.93,3840.19,Active,1095,2022-01-01,2024-12-31
9,9,Group_A,ESP_80,730.0,1,2024-03-05,Bearing_Wear,High_Temperature,86.87,38.43,15.37,63.33,4.64,28.11,27.39,1094.0,1.69,0.0,95.63,99.85,4999.65,Active,1095,2022-01-01,2024-12-31
10,10,Group_A,ESP_360,730.0,1,2024-04-29,Bearing_Wear,High_Temperature,208.44,19.15,7.66,62.31,3.74,25.48,28.24,1094.0,2.52,0.0,96.33,99.77,5092.55,Active,1095,2022-01-01,2024-12-31
11,11,Group_A,ESP_130,730.0,1,2023-12-19,Bearing_Wear,High_Temperature,230.16,22.97,9.19,63.66,4.14,73.94,11.8,1094.0,2.12,0.0,90.01,99.81,3292.46,Active,1095,2022-01-01,2024-12-31
12,12,Group_A,ESP_80,730.0,1,2024-04-15,Bearing_Wear,High_Temperature,150.96,18.88,7.55,63.6,4.03,76.29,13.08,1094.0,1.8,0.0,97.03,99.84,3432.27,Active,1095,2022-01-01,2024-12-31
13,13,Group_A,ESP_80,730.0,1,2023-08-26,Seal_Failure,Pressure_Spike,198.37,38.49,15.4,64.44,7.99,32.34,29.42,1094.0,1.53,0.0,90.33,99.86,5220.98,Active,1095,2022-01-01,2024-12-31
14,14,Group_A,ESP_360,730.0,1,2024-04-29,Bearing_Wear,High_Temperature,163.21,49.43,19.77,67.26,6.03,64.51,10.94,1094.0,2.32,0.0,93.68,99.79,3198.03,Active,1095,2022-01-01,2024-12-31
15,15,Group_A,ESP_360,730.0,1,2024-05-21,Seal_Failure,Pressure_Spike,215.72,16.03,6.41,75.25,6.17,70.79,13.15,1094.0,1.05,0.0,97.11,99.9,3439.81,Active,1095,2022-01-01,2024-12-31
16,16,Group_A,ESP_250,730.0,1,2023-10-13,Electrical_Short,Voltage_Surge,197.46,25.47,10.19,88.1,2.83,37.17,7.84,1094.0,2.81,0.0,98.77,99.74,2858.13,Active,1095,2022-01-01,2024-12-31
17,17,Group_A,ESP_250,730.0,1,2023-10-13,Bearing_Wear,High_Temperature,167.83,20.43,8.17,89.89,7.79,51.29,27.07,1094.0,0.97,0.0,92.79,99.91,4963.72,Active,1095,2022-01-01,2024-12-31
18,18,Group_A,ESP_250,730.0,1,2024-03-06,Cavitation,Low_Inlet_Pressure,212.58,35.68,14.27,62.52,2.97,73.41,20.16,1094.0,0.52,0.0,91.01,99.95,4207.6,Active,1095,2022-01-01,2024-12-31
